t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
1224000.0,101368514.95777243,-18462101.05087853,2009129.088480848,-21.44984047575635,27.385505851158896,-0.10946838622300646,heliocentric
1225000.0,101347058.97057918,-18434714.425964862,2009019.498255158,-21.462135028723775,27.387743704924276,-0.10971209369856674,heliocentric
1226000.0,101325590.68547793,-18407325.5640117,2008909.6642363358,-21.47443629285656,27.3899799296284,-0.10995597251926889,heliocentric
1227000.0,101304110.0957542,-18379934.466649666,2008799.5862529415,-21.48674427475096,27.392214522149917,-0.11020002287395088,heliocentric
1228000.0,101282617.19468696,-18352541.135512505,2008689.2641333467,-21.49905898101208,27.394447479361055,-0.11044424495173397,heliocentric
1229000.0,101261111.97554852,-18325145.572237093,2008578.6977057338,-21.51138041825387,27.3966787981276,-0.11068863894202323,heliocentric
1230000.0,101239594.4316046,-18297747.778463446,2008467.8867980954,-21.52370859309916,27.398908475308883,-0.11093320503450811,heliocentric
1231000.0,101218064.55611426,-18270347.75583472,2008356.8312382342,-21.536043512179653,27.401136507757766,-0.11117794341916294,heliocentric
1232000.0,101196522.34232995,-18242945.505997226,2008245.530853763,-21.548385182135963,27.403362892320622,-0.11142285428624747,heliocentric
1233000.0,101174967.78349748,-18215541.03060043,2008133.985472104,-21.560733609617618,27.40558762583733,-0.11166793782630742,heliocentric
1234000.0,101153400.87285599,-18188134.331296954,2008022.194920489,-21.573088801283067,27.407810705141248,-0.11191319423017498,heliocentric
1235000.0,101131821.60363796,-18160725.409742605,2007910.1590259587,-21.585450763799713,27.410032127059203,-0.1121586236889694,heliocentric
1236000.0,101110229.96906921,-18133314.267596357,2007797.8776153624,-21.597819503843912,27.41225188841148,-0.11240422639409747,heliocentric
1237000.0,101088625.96236888,-18105900.906520367,2007685.350515358,-21.610195028101,27.414469986011795,-0.11265000253725414,heliocentric
1238000.0,101067009.57674938,-18078485.32817998,2007572.5775524112,-21.6225773432653,27.416686416667297,-0.11289595231042297,heliocentric
1239000.0,101045380.80541648,-18051067.534243748,2007459.5585527963,-21.634966456040136,27.418901177178537,-0.11314207590587673,heliocentric
1240000.0,101023739.6415692,-18023647.526383407,2007346.2933425945,-21.64736237313786,27.421114264339458,-0.1133883735161779,heliocentric
1241000.0,101002086.07839985,-17996225.306273922,2007232.7817476946,-21.659765101279852,27.423325674937384,-0.11363484533417931,heliocentric
1242000.0,100980420.10909404,-17968800.87559346,2007119.0235937925,-21.672174647196545,27.425535405752996,-0.11388149155302453,heliocentric
1243000.0,100958741.72683062,-17941374.23602342,2007005.0187063904,-21.684591017627437,27.42774345356032,-0.11412831236614858,heliocentric
1244000.0,100937050.9247817,-17913945.38924842,2006890.7669107975,-21.697014219321105,27.429949815126722,-0.11437530796727836,heliocentric
1245000.0,100915347.69611263,-17886514.336956326,2006776.2680321285,-21.709444259035223,27.43215448721287,-0.11462247855043327,heliocentric
1246000.0,100893632.03398202,-17859081.080838237,2006661.5218953043,-21.721881143536578,27.43435746657274,-0.1148698243099257,heliocentric
1247000.0,100871903.9315417,-17831645.622588508,2006546.5283250515,-21.73432487960108,27.43655874995359,-0.11511734544036167,heliocentric
1248000.0,100850163.3819367,-17804207.963904742,2006431.2871459017,-21.74677547401378,27.43875833409594,-0.11536504213664128,heliocentric
1249000.0,100828410.37830529,-17776768.106487814,2006315.7981821913,-21.75923293356889,27.440956215733568,-0.11561291459395932,heliocentric
1250000.0,100806644.91377892,-17749326.052041866,2006200.0612580616,-21.77169726506979,27.443152391593483,-0.11586096300780585,heliocentric
1251000.0,100784866.98148224,-17721881.802274313,2006084.0761974582,-21.78416847532905,27.44534685839592,-0.1161091875739667,heliocentric
1252000.0,100763076.57453308,-17694435.358895857,2005967.8428241308,-21.796646571168445,27.447539612854314,-0.11635758848852405,heliocentric
1253000.0,100741273.68604243,-17666986.723620486,2005851.3609616328,-21.809131559418965,27.44973065167529,-0.11660616594785703,heliocentric
1254000.0,100719458.30911449,-17639535.898165487,2005734.6304333212,-21.821623446920835,27.45191997155864,-0.1168549201486422,heliocentric
1255000.0,100697630.43684655,-17612082.88425145,2005617.651062356,-21.83412224052353,27.454107569197326,-0.11710385128785418,heliocentric
1256000.0,100675790.06232911,-17584627.683602277,2005500.4226717004,-21.846627947085793,27.456293441277435,-0.1173529595627662,heliocentric
1257000.0,100653937.17864577,-17557170.297945186,2005382.9450841194,-21.859140573475646,27.45847758447818,-0.11760224517095065,heliocentric
1258000.0,100632071.77887326,-17529710.729010724,2005265.2181221812,-21.871660126570408,27.460659995471893,-0.11785170831027963,heliocentric
